日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-07-23,2376.72,2349.03,2392.62,2347.91,38535536,31516441629.8,0.0,0.0,0.0,0.0
2024-07-24,2341.37,2349.11,2373.47,2330.33,41486305,33916714723.0,1.84,0.0,0.08,0.0
2024-07-25,2340.73,2355.83,2368.5,2329.99,43571894,38046089986.9,1.64,0.29,6.72,0.0
2024-07-26,2360.8,2387.85,2388.58,2359.91,40385661,35110809062.4,1.22,1.36,32.02,0.0
2024-07-29,2393.44,2406.81,2410.09,2386.36,43956153,37202528259.3,0.99,0.79,18.96,0.0
2024-07-30,2403.95,2407.8,2411.97,2387.03,41384697,34695543995.0,1.04,0.04,0.99,0.0
2024-07-31,2405.47,2457.53,2459.85,2401.26,57999563,48430590970.4,2.43,2.07,49.73,0.0
2024-08-01,2455.01,2470.56,2482.77,2454.93,48343633,42046575335.5,1.13,0.53,13.03,0.0
2024-08-02,2460.94,2445.15,2478.52,2442.68,39945302,35918023954.8,1.45,-1.03,-25.41,0.0
2024-08-05,2433.76,2383.23,2452.03,2382.56,48081530,41361841356.7,2.84,-2.53,-61.92,0.0
2024-08-06,2398.01,2414.82,2418.57,2390.43,37892828,33241534516.8,1.18,1.33,31.59,0.0
2024-08-07,2409.94,2415.82,2425.24,2403.2,34489138,31347893731.8,0.91,0.04,1.0,0.0
2024-08-08,2408.27,2403.02,2412.82,2381.73,33897871,29597775773.4,1.29,-0.53,-12.8,0.0
2024-08-09,2404.56,2380.44,2411.98,2379.47,29857542,24189662113.9,1.35,-0.94,-22.58,0.0
2024-08-12,2381.21,2369.61,2383.01,2364.04,27181091,21686004730.9,0.8,-0.45,-10.83,0.0
2024-08-13,2370.55,2392.26,2392.77,2369.22,28593902,23934181303.5,0.99,0.96,22.65,0.0
2024-08-14,2388.84,2368.38,2389.94,2367.35,27826208,22419811375.0,0.94,-1.0,-23.88,0.0
2024-08-15,2364.43,2381.71,2394.05,2355.2,31399865,24363358801.9,1.64,0.56,13.33,0.0
2024-08-16,2382.32,2359.02,2384.15,2358.25,28989338,23080093097.7,1.09,-0.95,-22.69,0.0
2024-08-19,2354.49,2365.35,2375.04,2351.06,28881541,22570804087.7,1.02,0.27,6.33,0.0
2024-08-20,2365.6,2327.81,2365.91,2317.92,29576627,22919355724.3,2.03,-1.59,-37.54,0.0
2024-08-21,2321.63,2321.85,2326.53,2310.15,24711766,18395091225.3,0.7,-0.26,-5.96,0.0
2024-08-22,2324.33,2309.33,2327.56,2303.33,26367963,20242388464.0,1.04,-0.54,-12.52,0.0
2024-08-23,2300.19,2288.89,2306.93,2282.89,26143628,19836807152.8,1.04,-0.89,-20.44,0.0
2024-08-26,2287.97,2301.75,2304.16,2279.7,29115556,23550735633.9,1.07,0.56,12.86,0.0
2024-08-27,2298.44,2285.56,2300.96,2281.48,30425541,24332848602.9,0.85,-0.7,-16.19,0.0
2024-08-28,2277.91,2287.78,2303.02,2277.42,29314033,23525864244.5,1.12,0.1,2.22,0.0
2024-08-29,2280.92,2293.25,2297.99,2268.66,36599230,30376856201.2,1.28,0.24,5.47,0.0
2024-08-30,2292.34,2317.48,2343.25,2289.32,49348472,38105935909.2,2.35,1.06,24.23,0.0
2024-09-02,2314.89,2288.72,2322.33,2287.11,45861318,33681056206.2,1.52,-1.24,-28.76,0.0
2024-09-03,2299.83,2297.14,2310.2,2288.28,34683309,25525521997.1,0.96,0.37,8.42,0.0
2024-09-04,2284.67,2276.89,2294.86,2274.72,30983145,23297806772.7,0.88,-0.88,-20.25,0.0
2024-09-05,2276.34,2282.8,2292.48,2273.76,28315899,20830330420.0,0.82,0.26,5.91,0.0
2024-09-06,2283.12,2258.45,2287.23,2257.44,25652126,18851411886.0,1.3,-1.07,-24.35,0.0
2024-09-09,2248.59,2236.64,2253.69,2228.21,32371047,22158253921.0,1.13,-0.97,-21.81,0.0
2024-09-10,2240.05,2242.13,2246.02,2213.44,30014921,20463204088.0,1.46,0.25,5.49,0.0
2024-09-11,2232.35,2216.82,2232.45,2205.88,30583270,23431179553.0,1.19,-1.13,-25.31,0.0
2024-09-12,2216.96,2223.89,2242.16,2216.95,26845476,20133530642.6,1.14,0.32,7.07,0.0
2024-09-13,2227.37,2211.07,2232.17,2210.66,25935917,19737883934.3,0.97,-0.58,-12.82,0.0
2024-09-18,2210.79,2211.12,2216.15,2184.97,24828792,17660533796.0,1.41,0.0,0.05,0.0
2024-09-19,2220.41,2240.1,2251.71,2199.73,41477059,30757555040.3,2.35,1.31,28.98,0.0
2024-09-20,2238.49,2224.22,2238.49,2210.61,37068530,27709225681.3,1.24,-0.71,-15.88,0.0
2024-09-23,2220.29,2229.96,2238.29,2215.28,31980643,23904547903.9,1.03,0.26,5.74,0.0
2024-09-24,2238.25,2309.45,2309.45,2238.24,57557942,40703206309.1,3.19,3.56,79.49,0.0
2024-09-25,2331.13,2334.57,2377.86,2327.98,69355442,48809106317.2,2.16,1.09,25.12,0.0
2024-09-26,2332.69,2398.93,2398.94,2328.65,76112979,51187125924.9,3.01,2.76,64.36,0.0
2024-09-27,2426.43,2489.56,2493.7,2417.63,76698311,55581642278.6,3.17,3.78,90.63,0.0
